,district,building_type,heat_source,value
6164,Emmendingen,9,4,0.123
6165,Emmendingen,11,2,0.3029
6166,Emmendingen,1,2,0.4747
6167,Emmendingen,38,2,0.137
6168,Emmendingen,6,2,0.4093
6169,Emmendingen,9,2,0.1713
6170,Emmendingen,11,3,0.1026
6171,Emmendingen,1,3,0.2098
6172,Emmendingen,38,3,0.037
6173,Emmendingen,6,3,0.1469
6174,Emmendingen,9,3,0.0528
6175,Emmendingen,11,1,0.5524
6176,Emmendingen,1,1,0.8291
6177,Emmendingen,38,1,0.212
6178,Emmendingen,6,1,0.712
6179,Emmendingen,9,1,0.339
6180,Ortenaukreis,100,0,0.7636
6181,Ortenaukreis,100,4,0.3215
6182,Ortenaukreis,100,2,0.4945
6183,Ortenaukreis,100,3,0.1954
6184,Ortenaukreis,100,1,0.6694
6185,Ortenaukreis,11,0,0.7126
6186,Ortenaukreis,9,0,0.4642
6187,Ortenaukreis,38,0,0.3131
6188,Ortenaukreis,6,0,0.8136
6189,Ortenaukreis,1,0,0.8987
6190,Ortenaukreis,11,4,0.2494
6191,Ortenaukreis,9,4,0.1441
6192,Ortenaukreis,38,4,0.092
6193,Ortenaukreis,6,4,0.3288
6194,Ortenaukreis,1,4,0.4053
6195,Ortenaukreis,11,2,0.4443
6196,Ortenaukreis,9,2,0.2543
6197,Ortenaukreis,38,2,0.1904
6198,Ortenaukreis,6,2,0.5534
6199,Ortenaukreis,1,2,0.5926
6200,Ortenaukreis,11,3,0.1484
6201,Ortenaukreis,9,3,0.0693
6202,Ortenaukreis,38,3,0.0393
6203,Ortenaukreis,6,3,0.2095
6204,Ortenaukreis,1,3,0.2519
6205,Ortenaukreis,11,1,0.5276
6206,Ortenaukreis,9,1,0.3547
6207,Ortenaukreis,38,1,0.1973
6208,Ortenaukreis,6,1,0.6829
6209,Ortenaukreis,1,1,0.8293
6210,Rottweil,100,0,0.8366
6211,Rottweil,100,4,0.4073
6212,Rottweil,100,2,0.5194
6213,Rottweil,100,3,0.2757
6214,Rottweil,100,1,0.7388
6215,Rottweil,9,0,0.4402
6216,Rottweil,38,0,0.2702
6217,Rottweil,6,0,0.7928
6218,Rottweil,11,0,0.6716
6219,Rottweil,1,0,0.9013
6220,Rottweil,9,4,0.1731
6221,Rottweil,38,4,0.1095
6222,Rottweil,6,4,0.3317
6223,Rottweil,11,4,0.2694
6224,Rottweil,1,4,0.4548
6225,Rottweil,9,2,0.281
6226,Rottweil,38,2,0.1722
6227,Rottweil,6,2,0.4943
6228,Rottweil,11,2,0.3949
6229,Rottweil,1,2,0.5606
6230,Rottweil,9,3,0.1007
6231,Rottweil,38,3,0.057
6232,Rottweil,6,3,0.2259
6233,Rottweil,11,3,0.1577
6234,Rottweil,1,3,0.3115
6235,Rottweil,9,1,0.2871
6236,Rottweil,38,1,0.1471
6237,Rottweil,6,1,0.648
6238,Rottweil,11,1,0.4572
6239,Rottweil,1,1,0.8247
6240,Schwarzwald-Baar-Kreis,100,0,0.7503
6241,Schwarzwald-Baar-Kreis,100,4,0.3053
6242,Schwarzwald-Baar-Kreis,100,2,0.4261
6243,Schwarzwald-Baar-Kreis,100,3,0.1673
6244,Schwarzwald-Baar-Kreis,100,1,0.6543
6245,Schwarzwald-Baar-Kreis,9,0,0.3614
6246,Schwarzwald-Baar-Kreis,1,0,0.885
6247,Schwarzwald-Baar-Kreis,11,0,0.5955
6248,Schwarzwald-Baar-Kreis,38,0,0.2715
6249,Schwarzwald-Baar-Kreis,6,0,0.7367
6250,Schwarzwald-Baar-Kreis,9,4,0.1253
6251,Schwarzwald-Baar-Kreis,1,4,0.3829
6252,Schwarzwald-Baar-Kreis,11,4,0.1879
6253,Schwarzwald-Baar-Kreis,38,4,0.071
6254,Schwarzwald-Baar-Kreis,6,4,0.2675
6255,Schwarzwald-Baar-Kreis,9,2,0.1731
6256,Schwarzwald-Baar-Kreis,1,2,0.5123
6257,Schwarzwald-Baar-Kreis,11,2,0.306
6258,Schwarzwald-Baar-Kreis,38,2,0.1575
6259,Schwarzwald-Baar-Kreis,6,2,0.4231
6260,Schwarzwald-Baar-Kreis,9,3,0.0429
6261,Schwarzwald-Baar-Kreis,1,3,0.2158
6262,Schwarzwald-Baar-Kreis,11,3,0.0862
6263,Schwarzwald-Baar-Kreis,38,3,0.0279
6264,Schwarzwald-Baar-Kreis,6,3,0.1584
6265,Schwarzwald-Baar-Kreis,9,1,0.2546
6266,Schwarzwald-Baar-Kreis,1,1,0.8106
6267,Schwarzwald-Baar-Kreis,11,1,0.4199
6268,Schwarzwald-Baar-Kreis,38,1,0.1686
6269,Schwarzwald-Baar-Kreis,6,1,0.6156
6270,Tuttlingen,100,0,0.7961
6271,Tuttlingen,100,4,0.3365
6272,Tuttlingen,100,2,0.5269
6273,Tuttlingen,100,3,0.2191
6274,Tuttlingen,100,1,0.6949
6275,Tuttlingen,1,0,0.8984
6276,Tuttlingen,11,0,0.6226
6277,Tuttlingen,6,0,0.7694
6278,Tuttlingen,9,0,0.428
6279,Tuttlingen,38,0,0.3151
6280,Tuttlingen,1,4,0.4055
6281,Tuttlingen,11,4,0.196
6282,Tuttlingen,6,4,0.2894
6283,Tuttlingen,9,4,0.1322
6284,Tuttlingen,38,4,0.0942
6285,Tuttlingen,1,2,0.5934
6286,Tuttlingen,11,2,0.4133
6287,Tuttlingen,6,2,0.5177
6288,Tuttlingen,9,2,0.2735
6289,Tuttlingen,38,2,0.2208
6290,Tuttlingen,1,3,0.2658
6291,Tuttlingen,11,3,0.1153
6292,Tuttlingen,6,3,0.2129
6293,Tuttlingen,9,3,0.0614
6294,Tuttlingen,38,3,0.0463
6295,Tuttlingen,1,1,0.827
6296,Tuttlingen,11,1,0.4235
6297,Tuttlingen,6,1,0.6411
6298,Tuttlingen,9,1,0.2848
6299,Tuttlingen,38,1,0.1699
6300,Konstanz,38,0,0.2631
6301,Konstanz,9,0,0.3909
6302,Konstanz,11,4,0.2091
6303,Konstanz,1,4,0.394
6304,Konstanz,6,4,0.2804
6305,Konstanz,38,4,0.0918
6306,Konstanz,9,4,0.1233
6307,Konstanz,11,2,0.3205
6308,Konstanz,1,2,0.4882
6309,Konstanz,6,2,0.4337
6310,Konstanz,38,2,0.1267
6311,Konstanz,9,2,0.1907
6312,Konstanz,11,3,0.0899
6313,Konstanz,1,3,0.2143
6314,Konstanz,6,3,0.1559
6315,Konstanz,38,3,0.019
6316,Konstanz,9,3,0.0443
6317,Konstanz,11,1,0.4657
6318,Konstanz,1,1,0.8112
6319,Konstanz,6,1,0.6606
6320,Konstanz,38,1,0.1585
6321,Konstanz,9,1,0.2813
6322,Konstanz,100,0,0.7242
6323,Konstanz,100,4,0.2973
6324,Konstanz,100,2,0.3928
6325,Konstanz,100,3,0.1536
6326,Konstanz,100,1,0.6281
6327,Konstanz,11,0,0.6408
6328,Konstanz,1,0,0.8808
6329,Konstanz,6,0,0.7687
6330,Lörrach,100,0,0.7107
6331,Lörrach,100,4,0.2731
6332,Lörrach,100,2,0.4059
6333,Lörrach,100,3,0.1549
6334,Lörrach,100,1,0.6215
6335,Lörrach,1,0,0.8938
6336,Lörrach,9,0,0.4294
6337,Lörrach,38,0,0.2753
6338,Lörrach,6,0,0.7908
6339,Lörrach,11,0,0.686
6340,Lörrach,1,4,0.388
6341,Lörrach,9,4,0.1182
6342,Lörrach,38,4,0.0819
6343,Lörrach,6,4,0.2981
6344,Lörrach,11,4,0.1805
6345,Lörrach,1,2,0.5271
6346,Lörrach,9,2,0.2126
6347,Lörrach,38,2,0.1548
6348,Lörrach,6,2,0.4652
6349,Lörrach,11,2,0.3693
6350,Lörrach,1,3,0.2306
6351,Lörrach,9,3,0.0538
6352,Lörrach,38,3,0.0282
6353,Lörrach,6,3,0.1593
6354,Lörrach,11,3,0.1015
6355,Lörrach,1,1,0.833
6356,Lörrach,9,1,0.3374
6357,Lörrach,38,1,0.1672
6358,Lörrach,6,1,0.6704
6359,Lörrach,11,1,0.5227
6360,Waldshut,100,0,0.8215
6361,Waldshut,100,4,0.4025
6362,Waldshut,100,2,0.5401
6363,Waldshut,100,3,0.2544
6364,Waldshut,100,1,0.7282
6365,Waldshut,9,0,0.4735
6366,Waldshut,38,0,0.3226
6367,Waldshut,1,0,0.93
6368,Waldshut,6,0,0.8422
6369,Waldshut,11,0,0.7369
6370,Waldshut,9,4,0.1649
6371,Waldshut,38,4,0.121
6372,Waldshut,1,4,0.4865
6373,Waldshut,6,4,0.369
6374,Waldshut,11,4,0.277
6375,Waldshut,9,2,0.2759
6376,Waldshut,38,2,0.2121
6377,Waldshut,1,2,0.615
6378,Waldshut,6,2,0.5751
6379,Waldshut,11,2,0.4755
6380,Waldshut,9,3,0.0787
6381,Waldshut,38,3,0.0483
6382,Waldshut,1,3,0.3135
6383,Waldshut,6,3,0.2463
6384,Waldshut,11,3,0.1635
6385,Waldshut,9,1,0.3397
6386,Waldshut,38,1,0.1855
6387,Waldshut,1,1,0.8674
6388,Waldshut,6,1,0.708
6389,Waldshut,11,1,0.5219
6390,Reutlingen,100,0,0.7025
6391,Reutlingen,100,4,0.2562
6392,Reutlingen,100,2,0.3685
6393,Reutlingen,100,3,0.1261
6394,Reutlingen,100,1,0.6028
6395,Reutlingen,11,0,0.5982
6396,Reutlingen,6,0,0.7302
6397,Reutlingen,1,0,0.8574
6398,Reutlingen,38,0,0.2527
6399,Reutlingen,9,0,0.3721
6400,Reutlingen,11,4,0.1644
6401,Reutlingen,6,4,0.2384
6402,Reutlingen,1,4,0.3398
6403,Reutlingen,38,4,0.0685
6404,Reutlingen,9,4,0.1148
6405,Reutlingen,11,2,0.3413
6406,Reutlingen,6,2,0.4186
6407,Reutlingen,1,2,0.4255
6408,Reutlingen,38,2,0.1458
6409,Reutlingen,9,2,0.2258
6410,Reutlingen,11,3,0.0923
6411,Reutlingen,6,3,0.1504
6412,Reutlingen,1,3,0.1564
6413,Reutlingen,38,3,0.0267
6414,Reutlingen,9,3,0.0627
6415,Reutlingen,11,1,0.4251
6416,Reutlingen,6,1,0.6184
6417,Reutlingen,1,1,0.7848
6418,Reutlingen,38,1,0.1509
6419,Reutlingen,9,1,0.2515
6420,Tübingen,100,0,0.7344
6421,Tübingen,100,4,0.2695
6422,Tübingen,100,2,0.4002
6423,Tübingen,100,3,0.145
6424,Tübingen,100,1,0.6384
6425,Tübingen,11,0,0.6062
6426,Tübingen,1,0,0.8609
6427,Tübingen,9,0,0.402
6428,Tübingen,6,0,0.7127
6429,Tübingen,38,0,0.2818
6430,Tübingen,11,4,0.1742
6431,Tübingen,1,4,0.339
6432,Tübingen,9,4,0.1204
6433,Tübingen,6,4,0.2335
6434,Tübingen,38,4,0.0784
6435,Tübingen,11,2,0.3293
6436,Tübingen,1,2,0.4665
6437,Tübingen,9,2,0.2168
6438,Tübingen,6,2,0.4026
6439,Tübingen,38,2,0.1714
6440,Tübingen,11,3,0.0934
6441,Tübingen,1,3,0.1827
6442,Tübingen,9,3,0.0551
6443,Tübingen,6,3,0.1422
6444,Tübingen,38,3,0.027
6445,Tübingen,11,1,0.4415
6446,Tübingen,1,1,0.7899
6447,Tübingen,9,1,0.2884
6448,Tübingen,6,1,0.5969
6449,Tübingen,38,1,0.1677
6450,Zollernalbkreis,100,0,0.798
6451,Zollernalbkreis,100,4,0.3585
6452,Zollernalbkreis,100,2,0.5226
6453,Zollernalbkreis,100,3,0.2384
6454,Zollernalbkreis,100,1,0.6922
6455,Zollernalbkreis,6,0,0.774
6456,Zollernalbkreis,1,0,0.8898
6457,Zollernalbkreis,38,0,0.2632
6458,Zollernalbkreis,11,0,0.5928
6459,Zollernalbkreis,9,0,0.3911
6460,Zollernalbkreis,6,4,0.3103
6461,Zollernalbkreis,1,4,0.4213
6462,Zollernalbkreis,38,4,0.0897
6463,Zollernalbkreis,11,4,0.1925
6464,Zollernalbkreis,9,4,0.1165
6465,Zollernalbkreis,6,2,0.5245
6466,Zollernalbkreis,1,2,0.5818
6467,Zollernalbkreis,38,2,0.1835
6468,Zollernalbkreis,11,2,0.38
6469,Zollernalbkreis,9,2,0.2489
6470,Zollernalbkreis,6,3,0.2341
6471,Zollernalbkreis,1,3,0.2808
6472,Zollernalbkreis,38,3,0.0328
6473,Zollernalbkreis,11,3,0.1184
6474,Zollernalbkreis,9,3,0.06
6475,Zollernalbkreis,6,1,0.6302
6476,Zollernalbkreis,1,1,0.8073
6477,Zollernalbkreis,38,1,0.1383
6478,Zollernalbkreis,11,1,0.3896
6479,Zollernalbkreis,9,1,0.2377
6480,"Ulm, Kreisfreie Stadt",100,0,0.6736
6481,"Ulm, Kreisfreie Stadt",100,4,0.1794
6482,"Ulm, Kreisfreie Stadt",100,2,0.4104
6483,"Ulm, Kreisfreie Stadt",100,3,0.0892
6484,"Ulm, Kreisfreie Stadt",100,1,0.59
6485,"Ulm, Kreisfreie Stadt",1,0,0.8672
6486,"Ulm, Kreisfreie Stadt",6,0,0.7045
6487,"Ulm, Kreisfreie Stadt",11,0,0.4712
6488,"Ulm, Kreisfreie Stadt",38,0,0.1449
6489,"Ulm, Kreisfreie Stadt",9,0,0.2766
6490,"Ulm, Kreisfreie Stadt",1,4,0.2552
6491,"Ulm, Kreisfreie Stadt",6,4,0.1552
6492,"Ulm, Kreisfreie Stadt",11,4,0.0914
6493,"Ulm, Kreisfreie Stadt",38,4,0.0259
6494,"Ulm, Kreisfreie Stadt",9,4,0.0529
6495,"Ulm, Kreisfreie Stadt",1,2,0.5294
6496,"Ulm, Kreisfreie Stadt",6,2,0.4387
6497,"Ulm, Kreisfreie Stadt",11,2,0.263
6498,"Ulm, Kreisfreie Stadt",38,2,0.0919
6499,"Ulm, Kreisfreie Stadt",9,2,0.1593
6500,"Ulm, Kreisfreie Stadt",1,3,0.1299
6501,"Ulm, Kreisfreie Stadt",6,3,0.0823
6502,"Ulm, Kreisfreie Stadt",11,3,0.0323
6503,"Ulm, Kreisfreie Stadt",38,3,0.0035
6504,"Ulm, Kreisfreie Stadt",9,3,0.0181
6505,"Ulm, Kreisfreie Stadt",1,1,0.7955
6506,"Ulm, Kreisfreie Stadt",6,1,0.5913
6507,"Ulm, Kreisfreie Stadt",11,1,0.3488
6508,"Ulm, Kreisfreie Stadt",38,1,0.0718
6509,"Ulm, Kreisfreie Stadt",9,1,0.2044
6510,Alb-Donau-Kreis,11,2,0.241
6511,Alb-Donau-Kreis,9,2,0.1835
6512,Alb-Donau-Kreis,38,3,0.0157
6513,Alb-Donau-Kreis,1,3,0.1185
6514,Alb-Donau-Kreis,6,3,0.0812
6515,Alb-Donau-Kreis,11,3,0.0534
6516,Alb-Donau-Kreis,9,3,0.0363
6517,Alb-Donau-Kreis,38,1,0.1831
6518,Alb-Donau-Kreis,1,1,0.8359
6519,Alb-Donau-Kreis,6,1,0.6489
6520,Alb-Donau-Kreis,11,1,0.4896
6521,Alb-Donau-Kreis,9,1,0.3297
6522,Alb-Donau-Kreis,100,0,0.792
6523,Alb-Donau-Kreis,100,4,0.335
6524,Alb-Donau-Kreis,100,2,0.2852
6525,Alb-Donau-Kreis,100,3,0.1008
6526,Alb-Donau-Kreis,100,1,0.7343
6527,Alb-Donau-Kreis,38,0,0.2844
6528,Alb-Donau-Kreis,1,0,0.8773
6529,Alb-Donau-Kreis,6,0,0.7167
6530,Alb-Donau-Kreis,11,0,0.6261
6531,Alb-Donau-Kreis,9,0,0.4298
6532,Alb-Donau-Kreis,38,4,0.0965
6533,Alb-Donau-Kreis,1,4,0.3857
6534,Alb-Donau-Kreis,6,4,0.3016
6535,Alb-Donau-Kreis,11,4,0.2029
6536,Alb-Donau-Kreis,9,4,0.1169
6537,Alb-Donau-Kreis,38,2,0.1186
6538,Alb-Donau-Kreis,1,2,0.3138
6539,Alb-Donau-Kreis,6,2,0.2296
6540,Biberach,100,0,0.8676
6541,Biberach,100,4,0.4008
6542,Biberach,100,2,0.5915
6543,Biberach,100,3,0.2732
6544,Biberach,100,1,0.7997
6545,Biberach,38,0,0.3637
6546,Biberach,11,0,0.7145
6547,Biberach,6,0,0.8316
6548,Biberach,9,0,0.5347
6549,Biberach,1,0,0.9441
6550,Biberach,38,4,0.12
6551,Biberach,11,4,0.2393
6552,Biberach,6,4,0.3413
6553,Biberach,9,4,0.1847
6554,Biberach,1,4,0.4576
6555,Biberach,38,2,0.2419
6556,Biberach,11,2,0.4675
6557,Biberach,6,2,0.5706
6558,Biberach,9,2,0.3374
6559,Biberach,1,2,0.6485
6560,Biberach,38,3,0.0591
6561,Biberach,11,3,0.155
6562,Biberach,6,3,0.245
6563,Biberach,9,3,0.0959
6564,Biberach,1,3,0.316
6565,Biberach,38,1,0.2057
6566,Biberach,11,1,0.5248
6567,Biberach,6,1,0.7357
6568,Biberach,9,1,0.3877
6569,Biberach,1,1,0.9038
6570,Bodenseekreis,100,0,0.79
6571,Bodenseekreis,100,4,0.3367
6572,Bodenseekreis,100,2,0.5147
6573,Bodenseekreis,100,3,0.2017
6574,Bodenseekreis,100,1,0.674
6575,Bodenseekreis,9,0,0.4594
6576,Bodenseekreis,11,0,0.6743
6577,Bodenseekreis,38,0,0.3737
6578,Bodenseekreis,6,0,0.7875
6579,Bodenseekreis,1,0,0.8897
6580,Bodenseekreis,9,4,0.1591
6581,Bodenseekreis,11,4,0.2351
6582,Bodenseekreis,38,4,0.1056
6583,Bodenseekreis,6,4,0.3152
6584,Bodenseekreis,1,4,0.4032
6585,Bodenseekreis,9,2,0.2853
6586,Bodenseekreis,11,2,0.4356
6587,Bodenseekreis,38,2,0.226
6588,Bodenseekreis,6,2,0.5104
6589,Bodenseekreis,1,2,0.5841
6590,Bodenseekreis,9,3,0.0718
6591,Bodenseekreis,11,3,0.1364
6592,Bodenseekreis,38,3,0.0465
6593,Bodenseekreis,6,3,0.1967
6594,Bodenseekreis,1,3,0.2456
6595,Bodenseekreis,9,1,0.3283
6596,Bodenseekreis,11,1,0.4625
6597,Bodenseekreis,38,1,0.2459
6598,Bodenseekreis,6,1,0.6534
6599,Bodenseekreis,1,1,0.8015
6600,Ravensburg,100,0,0.7892
6601,Ravensburg,100,2,0.5051
6602,Ravensburg,100,3,0.1741
6603,Ravensburg,100,1,0.6897
6604,Ravensburg,9,0,0.4201
6605,Ravensburg,1,0,0.9034
6606,Ravensburg,6,0,0.7639
6607,Ravensburg,38,0,0.303
6608,Ravensburg,11,0,0.6849
6609,Ravensburg,9,4,0.1267
6610,Ravensburg,1,4,0.3771
6611,Ravensburg,6,4,0.2531
6612,Ravensburg,38,4,0.0834
6613,Ravensburg,11,4,0.1977
6614,Ravensburg,9,2,0.2633
6615,Ravensburg,1,2,0.5831
6616,Ravensburg,6,2,0.4841
6617,Ravensburg,38,2,0.1908
6618,Ravensburg,9,3,0.0545
6619,Ravensburg,1,3,0.2198
6620,Ravensburg,6,3,0.1554
6621,Ravensburg,38,3,0.0248
6622,Ravensburg,11,3,0.0974
6623,Ravensburg,9,1,0.2863
6624,Ravensburg,1,1,0.8342
6625,Ravensburg,6,1,0.6306
6626,Ravensburg,38,1,0.1896
6627,Ravensburg,100,4,0.3062
6628,Ravensburg,11,1,0.4802
6629,Ravensburg,11,2,0.421
6630,Sigmaringen,100,0,0.8313
6631,Sigmaringen,100,4,0.3863
6632,Sigmaringen,100,2,0.4839
6633,Sigmaringen,100,3,0.2149
6634,Sigmaringen,100,1,0.7541
6635,Sigmaringen,6,0,0.7836
6636,Sigmaringen,9,0,0.4564
6637,Sigmaringen,38,0,0.2587
6638,Sigmaringen,1,0,0.9122
6639,Sigmaringen,11,0,0.6873
6640,Sigmaringen,6,4,0.3329
6641,Sigmaringen,9,4,0.1675
6642,Sigmaringen,38,4,0.0967
6643,Sigmaringen,1,4,0.4416
6644,Sigmaringen,11,4,0.2325
6645,Sigmaringen,6,2,0.4697
6646,Sigmaringen,9,2,0.2323
6647,Sigmaringen,38,2,0.1641
6648,Sigmaringen,1,2,0.5316
6649,Sigmaringen,11,2,0.4001
6650,Sigmaringen,6,3,0.1999
6651,Sigmaringen,9,3,0.0713
6652,Sigmaringen,38,3,0.0436
6653,Sigmaringen,1,3,0.2473
6654,Sigmaringen,11,3,0.121
6655,Sigmaringen,6,1,0.6734
6656,Sigmaringen,9,1,0.334
6657,Sigmaringen,38,1,0.1566
6658,Sigmaringen,1,1,0.8568
6659,Sigmaringen,11,1,0.49
